L2_norm,Nuclear_norm,L0_norm,L1_norm,Mean,Median,Std,Var,Skewness,Kurtosis,Entropy,Range
1724.3436,14238.869,12587520,24175.168,-0.00023182393,0.0010864795,0.48601952,0.23621498,0.025380534211957732,0.006263054992486694,-inf,5.226448
1724.5037,14222.786,12587520,24142.06,-0.00023016421,0.00097079785,0.48606455,0.23625875,0.025392571575569678,0.005914231350365284,-inf,5.1395445
1724.3466,14221.004,12587520,24150.033,-0.00023024894,0.0011258819,0.4860204,0.23621583,0.02554112307172076,0.005756462219333791,-inf,5.033455
1724.879,14225.225,12587520,24168.957,-0.0002308432,0.0010302699,0.4861702,0.23636147,0.025399455699864907,0.00581874277126504,-inf,5.1395445
1724.6726,14218.282,12587520,24163.02,-0.00023123247,0.0010925652,0.48611227,0.23630515,0.026009363460603903,0.006789940820745244,-inf,5.126325
1725.1345,14231.241,12587520,24181.084,-0.00023070593,0.001114574,0.4862422,0.23643148,0.025109298820180384,0.004706225814600007,-inf,4.951552
1725.3456,14228.36,12587520,24180.299,-0.00023057185,0.0010898277,0.48630187,0.23648952,0.025394461837959185,0.00503880693151082,-inf,5.126325
1725.4297,14245.197,12587520,24162.914,-0.00023115537,0.0010527582,0.48632526,0.23651227,0.02614970291291271,0.006254473714744524,-inf,5.051675
1725.2573,14240.033,12587520,24170.256,-0.00023039876,0.0011158315,0.48627704,0.23646535,0.02557090340760077,0.005903645601380347,-inf,5.226448
1726.0024,14250.14,12587520,24196.172,-0.00023089028,0.0010470231,0.48648727,0.23666985,0.025519897645638803,0.00727550542215738,-inf,5.1203585
1724.9204,14224.894,12587520,24150.852,-0.00023021898,0.0011595977,0.48618212,0.23637305,0.025026040114798188,0.005187440435034052,-inf,5.226448
1725.4867,14251.155,12587520,24166.945,-0.00023070912,0.000999436,0.48634154,0.2365281,0.025323587137218904,0.005578141822868421,-inf,5.1203585
1724.6544,14231.909,12587520,24181.254,-0.00023184261,0.0010089041,0.48610708,0.23630008,0.025439895590144257,0.006652277839482412,-inf,5.1395445
1724.9794,14226.102,12587520,24163.016,-0.0002306392,0.0010829823,0.4861985,0.23638898,0.02479336259575393,0.003389647980683641,-inf,5.226448
1724.7445,14227.978,12587520,24195.61,-0.0002307785,0.0010886674,0.4861324,0.23632473,0.02533757618019268,0.005678858421038768,-inf,5.226448
1725.8904,14255.176,12587520,24161.564,-0.00023010482,0.0011937765,0.48645562,0.23663907,0.024905232724190124,0.0063959558380748405,-inf,5.051675
1724.8127,14234.387,12587520,24122.65,-0.00022947774,0.0010901014,0.48615134,0.23634312,0.024909757765595855,0.004982292097070573,-inf,5.226448
1725.3384,14238.685,12587520,24182.777,-0.00022963,0.0011113754,0.48629972,0.23648743,0.02504739163613995,0.0042101655757340595,-inf,5.226448
1724.3754,14205.622,12587520,24152.598,-0.00023005689,0.001028022,0.48602846,0.23622365,0.02578230015405981,0.0046262178144278465,-inf,5.1203585
1724.3147,14228.484,12587520,24153.047,-0.00023074787,0.0011027359,0.4860112,0.23620689,0.02551469731306898,0.005317921315936669,-inf,5.226448
1725.0739,14229.422,12587520,24183.088,-0.00023160901,0.0011369608,0.4862255,0.23641522,0.025296960838203406,0.0052898401212666535,-inf,5.051675
1724.7119,14234.277,12587520,24180.113,-0.00023108923,0.0010301897,0.48612303,0.23631561,0.025351121564796117,0.006412484657969841,-inf,5.126325
1724.7178,14221.092,12587520,24149.893,-0.00022986384,0.0009893058,0.4861251,0.23631762,0.02536469247998019,0.005919703840455703,-inf,5.1395445
1725.2272,14246.627,12587520,24166.504,-0.00023113345,0.0010301997,0.48626873,0.23645727,0.025604267860641385,0.005778248403210284,-inf,5.126325
1724.5615,14230.476,12587520,24183.791,-0.0002304752,0.0009907729,0.48608112,0.23627485,0.025439762815747738,0.00687289735517238,-inf,5.051675
1724.1426,14231.969,12587520,24136.44,-0.00023077805,0.0011144956,0.4859629,0.23615994,0.024910043600157705,0.004407684403101797,-inf,5.126325
1724.5284,14227.842,12587520,24174.49,-0.00023024355,0.0011173572,0.4860717,0.2362657,0.025435185674832838,0.005144017185638727,-inf,5.126325
1725.4222,14240.345,12587520,24179.48,-0.00022976351,0.0009736017,0.48632354,0.23651057,0.025275471074710225,0.005644202316147595,-inf,5.226448
1724.2234,14218.764,12587520,24137.36,-0.00022991616,0.0011611995,0.4859856,0.236182,0.025099709327158135,0.004743550301272048,-inf,5.1395445
1724.9231,14241.998,12587520,24154.973,-0.00023029307,0.0010686836,0.48618272,0.23637363,0.025489932723811417,0.005923688952965467,-inf,5.1395445
1724.6874,14223.996,12587520,24206.35,-0.00023085251,0.0010848385,0.48611632,0.23630908,0.0251672336468599,0.005196032761834779,-inf,4.951552
1725.3251,14230.647,12587520,24144.977,-0.00022931631,0.00110897,0.4862961,0.23648387,0.02518030314862814,0.006503400211555821,-inf,5.118932
1725.1685,14237.404,12587520,24159.293,-0.00023000444,0.001086797,0.48625195,0.23644096,0.025190868682724406,0.006149139404985959,-inf,4.951552
1724.9529,14236.673,12587520,24177.63,-0.00023083593,0.0010817926,0.48619103,0.23638172,0.02514720103786334,0.004387435085612346,-inf,4.960789
1725.1519,14244.027,12587520,24161.828,-0.0002315853,0.0010765353,0.48624727,0.23643641,0.02517388954326357,0.006682406851900247,-inf,5.226448
1724.8875,14229.924,12587520,24177.96,-0.0002317421,0.001075895,0.48617303,0.23636422,0.024919523989034277,0.005168891029508682,-inf,5.1203585
1724.9192,14235.895,12587520,24196.549,-0.00022997336,0.0010469453,0.4861815,0.23637246,0.024623239350044453,0.004734000933842353,-inf,4.9455853
1725.3373,14227.694,12587520,24173.229,-0.00023070347,0.0011360785,0.48629948,0.2364872,0.025323613667170106,0.0036833364095905097,-inf,5.051675
1724.886,14226.175,12587520,24174.13,-0.00023177257,0.0011190444,0.48617247,0.23636368,0.025506198320249442,0.006105656270872117,-inf,5.226448
1724.7109,14217.368,12587520,24187.785,-0.00023136116,0.0010460007,0.48612288,0.23631546,0.025392652887636407,0.00534788586967494,-inf,5.1203585
1725.2104,14214.149,12587520,24149.795,-0.00023070887,0.00112102,0.48626402,0.2364527,0.02502114518391656,0.00480208536553528,-inf,5.126325
1725.1449,14227.738,12587520,24168.838,-0.00023110634,0.0010362888,0.48624533,0.23643453,0.025195678077828763,0.005324578075481146,-inf,5.033455
1723.8373,14226.733,12587520,24171.97,-0.0002313392,0.001111275,0.48587677,0.23607624,0.025434301025092452,0.005887411636819273,-inf,5.1203585
1725.1057,14230.612,12587520,24180.965,-0.0002292489,0.0010396657,0.48623428,0.23642376,0.02532756918942992,0.0055779550469736705,-inf,5.126325
1725.6172,14244.363,12587520,24178.684,-0.00023120957,0.0010718411,0.48637828,0.23656383,0.025261438962671134,0.004647858049036113,-inf,5.226448
