L2_norm,Nuclear_norm,L0_norm,L1_norm,Mean,Median,Std,Var,Skewness,Kurtosis,Entropy,Range
17513.686,110803.09,41958400,201856.02,0.022587787,0.07564789,2.7036662,7.3098116,0.0064659101037271485,-1.2313442156377856,-inf,29.487991
17525.066,110830.26,41958400,201670.3,0.022536175,0.07517059,2.7054222,7.319309,0.006424538479859586,-1.2338623274639224,-inf,29.240099
17509.242,110836.664,41958400,201915.05,0.022590574,0.0755261,2.702978,7.30609,0.006598332067408505,-1.2306102476646554,-inf,29.240099
17511.229,110748.96,41958400,201979.98,0.022604521,0.075145476,2.703286,7.3077555,0.006627036196739977,-1.2306016808002045,-inf,29.240099
17514.785,110695.33,41958400,201974.19,0.02260353,0.07538095,2.703834,7.310719,0.00657044811338459,-1.23081170402996,-inf,29.426975
17513.719,110897.63,41958400,201866.69,0.022582177,0.07506618,2.7036707,7.309836,0.006557437683169223,-1.2308398251653374,-inf,29.653473
17514.25,110755.22,41958400,201871.97,0.022578245,0.07548526,2.7037532,7.3102813,0.0065449513595212646,-1.2312765275439095,-inf,29.240099
17521.781,110936.414,41958400,201840.81,0.022565821,0.075557515,2.7049158,7.3165693,0.006558945496185186,-1.2324570806567345,-inf,29.653473
17509.955,110934.95,41958400,201944.47,0.022586511,0.07500605,2.70309,7.3066955,0.006680219633169538,-1.230424227552092,-inf,29.240099
17517.645,110862.42,41958400,201887.92,0.0225674,0.075091645,2.7042747,7.313102,0.006573733584257807,-1.2313093187787305,-inf,29.017208
17517.607,110867.14,41958400,201814.25,0.022568986,0.0754197,2.7042706,7.31308,0.006472003136164327,-1.2320987226537607,-inf,29.487991
17512.959,110928.05,41958400,201980.55,0.022608835,0.075026765,2.7035522,7.3091946,0.00656446074984016,-1.2307486936120355,-inf,29.653473
17504.938,110910.45,41958400,201925.9,0.022575391,0.075289816,2.7023149,7.3025055,0.006563584468755707,-1.229474155675838,-inf,29.240099
17514.998,110711.09,41958400,201911.44,0.022589015,0.075465254,2.7038655,7.3108883,0.0065615354923087435,-1.2318243046354105,-inf,29.487991
17511.574,110790.195,41958400,201926.64,0.022586523,0.07517938,2.703341,7.308053,0.006582061548181682,-1.2311067468034622,-inf,29.017208
17511.31,110984.14,41958400,201864.11,0.022568798,0.07487676,2.7033007,7.3078346,0.006597906265319584,-1.230620439234265,-inf,29.487991
17510.93,110798.29,41958400,201921.48,0.022588417,0.07519388,2.7032423,7.307519,0.006546634769597679,-1.2306767366315534,-inf,29.426975
17521.348,110943.64,41958400,201790.56,0.02256253,0.07489288,2.7048473,7.316199,0.006549384784091629,-1.2324777448768092,-inf,29.017208
17521.992,110790.57,41958400,201736.58,0.02254153,0.075387776,2.7049494,7.316751,0.006482686475947749,-1.232473314394978,-inf,28.23537
17516.164,110900.67,41958400,201878.69,0.022563305,0.07541047,2.7040448,7.3118587,0.006506173008410966,-1.231463765390791,-inf,29.240099
17509.422,110755.17,41958400,201951.36,0.022595514,0.07511403,2.7030075,7.306249,0.0066082723357830395,-1.23055261002724,-inf,29.653473
