L2_norm,Nuclear_norm,L0_norm,L1_norm,Mean,Median,Std,Var,Skewness,Kurtosis,Entropy,Range
7801.253,74598.83,16783360,153362.62,-0.00014103662,-0.011477298,1.9042536,3.6261816,0.21160389081243428,1.0286455758869506,-inf,27.897608
7804.356,74510.22,16783360,153485.69,-0.00014967796,-0.010989651,1.9050115,3.6290689,0.21118438887390661,1.0278847958824526,-inf,26.61148
7804.988,74533.21,16783360,153485.19,-0.00014788794,-0.01161944,1.905166,3.6296575,0.21194407606011778,1.027588674480203,-inf,27.897608
7807.509,74582.42,16783360,153528.27,-0.00015368644,-0.010972975,1.905781,3.6320012,0.21115977159387397,1.0284971014258826,-inf,27.897608
7807.0024,74527.82,16783360,153555.72,-0.00013751959,-0.011398906,1.9056581,3.6315327,0.21163981493810458,1.0282736904585654,-inf,27.61905
7803.1465,74580.984,16783360,153392.52,-0.00013800149,-0.0110138245,1.9047168,3.6279464,0.21086051112113513,1.0264672685155949,-inf,26.731714
7806.676,74497.12,16783360,153469.67,-0.00013704777,-0.011203046,1.9055774,3.6312253,0.21119869514086267,1.0251520961992133,-inf,27.897608
7810.2183,74699.086,16783360,153614.97,-0.00012934908,-0.011477251,1.906443,3.6345248,0.21161285251234055,1.027824525589212,-inf,27.897608
7809.314,74612.28,16783360,153543.64,-0.0001525807,-0.0111260265,1.9062221,3.6336825,0.2116646900610194,1.02998943259567,-inf,26.61148
7807.1475,74592.96,16783360,153503.98,-0.00017243029,-0.011249673,1.905693,3.6316662,0.2116418544866586,1.0314115718811951,-inf,27.153833
7806.3774,74592.0,16783360,153423.78,-0.0001258614,-0.011335984,1.9055061,3.6309536,0.21121014922474088,1.0276722303246775,-inf,27.61905
7805.5015,74682.82,16783360,153579.38,-0.00017060255,-0.010900324,1.9052914,3.6301355,0.21141408166659492,1.033840204360052,-inf,27.897608
7802.0337,74577.32,16783360,153324.36,-0.00014442083,-0.011132173,1.904445,3.626911,0.21069917438733368,1.026921709974622,-inf,27.343565
7809.723,74545.02,16783360,153797.39,-0.00013470858,-0.011544706,1.9063215,3.6340616,0.21201303414448808,1.0308774830452903,-inf,26.875275
7808.3237,74589.945,16783360,153578.89,-0.00015537847,-0.011299765,1.9059798,3.6327586,0.21151444290565005,1.0273902519728848,-inf,27.897608
7805.062,74652.7,16783360,153338.27,-0.0001651819,-0.011175786,1.9051837,3.629725,0.21147629953602404,1.0279218965325247,-inf,27.897608
7804.8496,74561.164,16783360,153549.11,-0.00016295577,-0.010901023,1.9051324,3.6295295,0.21101889373204022,1.0294324689817076,-inf,27.897608
7806.486,74607.67,16783360,153400.02,-0.00017170895,-0.01141631,1.9055325,3.6310542,0.21158985210719722,1.027661975855712,-inf,27.897608
7807.273,74555.11,16783360,153543.7,-0.00014484047,-0.011261362,1.9057229,3.6317797,0.210513131425559,1.0258114584279259,-inf,27.897608
7806.9385,74589.25,16783360,153473.45,-0.00015782236,-0.011253597,1.9056419,3.631471,0.21152365225591896,1.0276322766996655,-inf,27.897608
7802.019,74531.66,16783360,153398.11,-0.00014854952,-0.011430483,1.9044418,3.6268988,0.21154973096733823,1.0251620570563498,-inf,27.897608
7806.3325,74620.125,16783360,153464.89,-0.00014192828,-0.011080542,1.9054941,3.6309075,0.21141565871362114,1.0281594473647413,-inf,27.343565
7806.1655,74580.32,16783360,153639.94,-0.00013364514,-0.010837292,1.9054536,3.6307533,0.21143102835164496,1.0331361371243206,-inf,27.897608
7807.183,74636.625,16783360,153538.14,-0.00015509408,-0.011367046,1.905702,3.6317003,0.21116546195707767,1.0287293584568618,-inf,27.61905
7807.0806,74646.65,16783360,153583.66,-0.00015005287,-0.011111528,1.9056768,3.6316044,0.21116119761481394,1.0309276652767556,-inf,27.065006
7801.036,74655.27,16783360,153355.56,-0.00013475394,-0.011518219,1.9042013,3.6259823,0.2108827671103826,1.0261026538035827,-inf,27.897608
7805.1885,74596.45,16783360,153554.2,-0.00013610238,-0.01121749,1.9052144,3.6298418,0.21133186282960634,1.0276967902197303,-inf,27.61905
7803.284,74536.445,16783360,153384.7,-0.00014359575,-0.011190318,1.9047506,3.628075,0.21161809979960414,1.0289635953590128,-inf,27.897608
7806.3716,74558.66,16783360,153419.16,-0.0001461451,-0.01123447,1.9055037,3.6309447,0.21125527435096575,1.0251976194641133,-inf,27.343565
7802.8164,74595.914,16783360,153405.31,-0.00015756798,-0.011349171,1.9046361,3.627639,0.21148771664087887,1.0275776618538588,-inf,27.343565
7808.379,74556.445,16783360,153639.98,-0.00013196639,-0.011418967,1.9059932,3.6328104,0.21192151983544644,1.0305542468851794,-inf,27.897608
7804.4487,74534.0,16783360,153537.08,-0.00016002635,-0.0114180995,1.9050354,3.6291597,0.21173235907683077,1.0305178007349935,-inf,27.61905
7807.2686,74526.484,16783360,153596.67,-0.00016886441,-0.011057362,1.905723,3.6317801,0.21173863931058784,1.0321997414733266,-inf,27.897608
7807.264,74602.13,16783360,153566.8,-0.00014221246,-0.011050222,1.9057229,3.6317797,0.21119364673688457,1.0280676260859893,-inf,27.897608
7808.1655,74600.2,16783360,153630.69,-0.00015274055,-0.011259284,1.9059407,3.6326098,0.211367557620867,1.0288383145834272,-inf,27.897608
7802.387,74608.41,16783360,153482.25,-0.00013973568,-0.011459034,1.9045315,3.6272402,0.21164721063279768,1.0300999251914549,-inf,27.153833
7805.3438,74574.83,16783360,153609.38,-0.00015219179,-0.011182573,1.9052525,3.6299868,0.21188070954056162,1.031351990221462,-inf,27.343565
7808.366,74550.79,16783360,153559.19,-0.00012251452,-0.011435686,1.9059905,3.6327999,0.21106291181611014,1.0274375447197839,-inf,27.897608
7802.4355,74506.086,16783360,153322.0,-0.00014587342,-0.011255726,1.904543,3.6272843,0.21128586508267455,1.0248857657561539,-inf,27.61905
7803.19,74480.36,16783360,153468.31,-0.0001451545,-0.010968459,1.9047266,3.6279836,0.21075550154534972,1.025883322132663,-inf,27.165524
7805.0527,74461.84,16783360,153283.28,-0.00014885767,-0.011458911,1.9051818,3.6297176,0.2109945137341383,1.0227925261501518,-inf,26.875275
7806.871,74517.4,16783360,153662.19,-0.00015849929,-0.011004841,1.9056258,3.6314096,0.21147626377108572,1.0309513686001681,-inf,27.897608
7802.4697,74611.86,16783360,153253.89,-0.00014257245,-0.011080466,1.9045514,3.627316,0.21130101654383426,1.0251308367194687,-inf,26.875275
7804.99,74601.55,16783360,153470.6,-0.00014109377,-0.011311478,1.9051667,3.6296604,0.21182623314842192,1.028508026120753,-inf,27.165524
7806.41,74609.85,16783360,153488.48,-0.00016221093,-0.011003304,1.9055136,3.6309824,0.2110917659650887,1.0269091790001452,-inf,27.897608
7804.594,74556.875,16783360,153336.39,-0.00015996628,-0.011048976,1.9050705,3.629294,0.2115988048796936,1.0289219192372663,-inf,27.61905
7804.329,74605.19,16783360,153403.52,-0.0001573335,-0.011381969,1.9050041,3.6290407,0.21119251999441765,1.02768453254071,-inf,26.875275
7802.7974,74629.25,16783360,153296.81,-0.00016485342,-0.011153631,1.9046315,3.627621,0.21082207249974275,1.0271384377710504,-inf,27.165524
7803.8057,74621.375,16783360,153331.44,-0.000119346434,-0.011605263,1.9048786,3.6285627,0.21116792575044943,1.024289512154387,-inf,27.897608
7805.298,74570.92,16783360,153437.53,-0.00015950445,-0.011144799,1.9052407,3.6299422,0.21131672371760415,1.0297805583783495,-inf,27.897608
7805.8433,74543.875,16783360,153650.77,-0.00014593924,-0.010998528,1.9053745,3.630452,0.21111343199481333,1.0257579393147296,-inf,27.61905
7809.6675,74551.31,16783360,153553.97,-0.00014133925,-0.011386483,1.9063076,3.6340086,0.21218446798976534,1.0287582555617876,-inf,26.581873
7807.404,74578.66,16783360,153545.08,-0.00014925121,-0.011446242,1.9057568,3.631909,0.21122597759403156,1.0268868051696804,-inf,27.343565
7803.8784,74530.81,16783360,153495.2,-0.00013743881,-0.011058479,1.9048952,3.6286256,0.21127134300500092,1.0264044887909023,-inf,27.065006
