L2_norm,Nuclear_norm,L0_norm,L1_norm,Mean,Median,Std,Var,Skewness,Kurtosis,Entropy,Range
10525.062,96096.805,12587520,167810.61,0.16329698,0.17070737,2.9620717,8.773869,-0.012453227858377795,0.05873244360206753,-inf,33.33924
10522.203,96072.02,12587520,167502.66,0.16299078,0.17090294,2.961283,8.7691965,-0.013070922282885627,0.05685510346750888,-inf,34.265373
10524.077,96069.9,12587520,167622.19,0.1634428,0.1710028,2.961788,8.772187,-0.013274353857006413,0.05608120952122908,-inf,34.265373
10531.007,95981.46,12587520,167784.08,0.16369343,0.1712952,2.9637287,8.783688,-0.012944066395087703,0.056863602850420136,-inf,34.62372
10524.862,96021.016,12587520,167863.6,0.1630151,0.17026505,2.9620318,8.773633,-0.012643309208570423,0.05610764645273658,-inf,32.9809
10525.897,96051.1,12587520,167646.7,0.16317436,0.17107153,2.9623141,8.775305,-0.013283330639274178,0.05490130587947739,-inf,33.003498
10527.166,96004.56,12587520,167932.19,0.16343498,0.1709721,2.962658,8.777342,-0.012614101314724556,0.05761164407240793,-inf,34.62372
10527.576,96193.33,12587520,167416.45,0.16316077,0.17087439,2.9627905,8.778128,-0.012979190695372747,0.05558420095713057,-inf,34.62372
10523.594,96157.43,12587520,167706.39,0.163001,0.17030206,2.9616737,8.771511,-0.01325682191663485,0.05559151507218463,-inf,33.003498
10520.096,96133.09,12587520,167605.77,0.16303088,0.16998394,2.960684,8.765651,-0.012939197349788016,0.05571951019891008,-inf,34.265373
10521.384,96033.13,12587520,167463.1,0.16293715,0.17061558,2.9610548,8.767845,-0.013114983296228667,0.05469806966794355,-inf,33.990982
10525.727,96184.75,12587520,167678.25,0.16344081,0.17071031,2.9622514,8.774933,-0.013187598765777579,0.05853943301833864,-inf,34.265373
10523.043,96044.016,12587520,167795.94,0.16335368,0.1709968,2.9614983,8.770473,-0.012868390590090461,0.05741615940893485,-inf,34.62372
10524.631,96030.26,12587520,167822.06,0.16339472,0.17123607,2.961945,8.773119,-0.012720562142056743,0.05535558396169327,-inf,33.003498
10525.07,96114.27,12587520,167737.5,0.16318016,0.1707255,2.9620802,8.773919,-0.012111187704436067,0.05660605181226952,-inf,32.7423
10525.473,96138.49,12587520,167618.16,0.16329393,0.17062205,2.9621897,8.774568,-0.012731990017194515,0.05630963799976341,-inf,33.990982
10524.972,96042.4,12587520,167731.14,0.16323084,0.17079684,2.9620502,8.773742,-0.013109128065367119,0.05706265896455598,-inf,34.62372
10521.088,96134.55,12587520,167676.12,0.16319118,0.17113802,2.9609551,8.767255,-0.013054316079738592,0.057205762570330165,-inf,34.62372
10519.175,95894.06,12587520,167725.05,0.16321625,0.17133267,2.9604151,8.764058,-0.013224374799235565,0.05555421309568187,-inf,34.62372
10520.435,96094.28,12587520,167535.72,0.1633013,0.17081317,2.9607658,8.766134,-0.01324759227521315,0.05767169326175825,-inf,34.62372
10516.375,96116.08,12587520,167623.42,0.16359524,0.17117015,2.9596028,8.759249,-0.012756827177203254,0.05639033817482897,-inf,33.33924
10527.336,96124.33,12587520,167690.8,0.16322446,0.17078936,2.9627173,8.777694,-0.01337998963252493,0.05606058934318359,-inf,33.33924
10523.266,96007.59,12587520,167830.22,0.16352661,0.17134988,2.9615524,8.770792,-0.013446002610136884,0.05799696215020589,-inf,34.265373
10521.16,96187.02,12587520,167617.9,0.16282915,0.17081869,2.9609962,8.767498,-0.012568184823423716,0.05674218344208004,-inf,32.9809
10523.6,96071.625,12587520,167717.05,0.16308092,0.16987088,2.961671,8.771496,-0.01292874380392876,0.0560656265153443,-inf,34.265373
10521.402,96123.945,12587520,167489.48,0.16317183,0.17057127,2.9610462,8.767795,-0.012986066822898419,0.05620330864265366,-inf,33.990982
10525.497,96042.58,12587520,167764.14,0.16293938,0.17050226,2.9622157,8.774721,-0.012573548832791279,0.056927016504388916,-inf,34.62372
10529.879,96080.68,12587520,167707.64,0.1632816,0.17014596,2.9634337,8.7819395,-0.012508267285714591,0.05806862025609849,-inf,32.835983
10514.753,96022.92,12587520,167469.98,0.16314927,0.17055716,2.95917,8.756688,-0.013167581445597409,0.05620884214570543,-inf,31.065279
10522.196,96127.02,12587520,167742.06,0.16270585,0.17052417,2.961296,8.769275,-0.012652136503633442,0.056069195433602115,-inf,34.265373
10521.225,96026.695,12587520,167736.88,0.16298561,0.17026606,2.9610047,8.7675495,-0.012641443822707023,0.05504799360411994,-inf,33.33924
10522.406,96033.92,12587520,167579.94,0.16327773,0.17070898,2.9613233,8.769435,-0.012935828550304356,0.05626943795463424,-inf,33.33924
10525.211,96056.77,12587520,167811.14,0.16348545,0.17147976,2.9621038,8.774059,-0.013257273380589097,0.05671134088528573,-inf,33.33924
10524.861,96076.67,12587520,167603.19,0.16329303,0.17077571,2.9620166,8.773542,-0.013092688929497168,0.05590275651484289,-inf,33.33924
10518.72,96148.66,12587520,167580.27,0.16266605,0.16933127,2.9603171,8.763477,-0.012276135019443413,0.05649866432423778,-inf,33.33924
10522.166,96141.59,12587520,167688.17,0.16326436,0.17133775,2.961256,8.769037,-0.01315453431626797,0.05726954762193204,-inf,33.003498
10526.298,96123.3,12587520,167860.22,0.16342679,0.17112094,2.9624147,8.775901,-0.012957395212769958,0.058265958824462505,-inf,34.265373
10524.256,96029.914,12587520,167709.22,0.16317837,0.17025274,2.9618514,8.772563,-0.012451288106744134,0.05667437817708487,-inf,34.62372
10518.904,96039.12,12587520,167571.19,0.16322012,0.17023154,2.9603367,8.763594,-0.01263726892629433,0.05690367834451715,-inf,33.33924
10529.193,95995.72,12587520,167712.4,0.16363648,0.17102948,2.9632201,8.780674,-0.013247893006026435,0.05599718768079498,-inf,33.91581
10522.7,95959.266,12587520,167643.86,0.16324197,0.17088962,2.9614086,8.769941,-0.01279853778650366,0.05654401053267666,-inf,32.383957
10530.512,96112.625,12587520,167714.16,0.16318679,0.17082451,2.9636161,8.783021,-0.013118741239536012,0.05787555684113954,-inf,34.62372
10526.755,96080.91,12587520,167621.33,0.16331014,0.17122726,2.9625492,8.776698,-0.013531951593972786,0.05603790538807596,-inf,32.835983
10527.134,96010.164,12587520,167950.4,0.16322246,0.17070118,2.962661,8.77736,-0.013258833857051339,0.05751385502398865,-inf,34.62372
10523.783,96162.95,12587520,167594.58,0.16295752,0.17107525,2.9617314,8.771853,-0.01298509019269359,0.056210277477943826,-inf,32.9809
10526.755,96013.97,12587520,167897.34,0.16324563,0.17089736,2.962553,8.77672,-0.012796665707592123,0.056565982439364504,-inf,32.979237
