L2_norm,Nuclear_norm,L0_norm,L1_norm,Mean,Median,Std,Var,Skewness,Kurtosis,Entropy,Range
11324.32,87958.71,8391680,176666.7,-0.06452221,-0.117375635,3.9086661,15.277671,0.005772462045770908,-0.024645519939049176,-inf,38.946136
11322.095,87967.664,8391680,176773.23,-0.06511133,-0.11743544,3.9078884,15.271591,0.006156566437913723,-0.024665414059704904,-inf,39.025146
11327.897,87934.01,8391680,176745.12,-0.06428911,-0.11669253,3.9099052,15.287358,0.005637463755500894,-0.024088237515267785,-inf,40.31405
11322.3545,87883.09,8391680,176593.72,-0.06516165,-0.1177461,3.9079764,15.272279,0.005329055259943791,-0.0279403008458754,-inf,40.108444
11321.235,87914.8,8391680,176450.61,-0.064888656,-0.11736691,3.9075944,15.269294,0.005801140576425967,-0.027724515993686527,-inf,40.31405
11325.203,87938.586,8391680,176701.1,-0.06539469,-0.117509335,3.9089568,15.2799425,0.006756599171165141,-0.026804294176737464,-inf,39.025146
11322.096,87923.75,8391680,176503.31,-0.06456707,-0.11789629,3.9078977,15.271664,0.00487921702955844,-0.026683901006594457,-inf,39.025146
11327.333,88025.14,8391680,176503.95,-0.06500781,-0.11823918,3.9096978,15.285736,0.005437966659507046,-0.025335264459421136,-inf,39.15174
11315.538,87936.75,8391680,176466.33,-0.06506851,-0.1182102,3.9056246,15.253903,0.005458244096614135,-0.02748464223615077,-inf,39.15174
11319.237,87998.12,8391680,176394.95,-0.06483326,-0.11743711,3.9069052,15.263907,0.005860829489339649,-0.028155464253862394,-inf,40.108444
11322.365,87959.39,8391680,176584.42,-0.06542759,-0.119672835,3.907976,15.272275,0.006214889021278672,-0.027382743490310446,-inf,39.23075
11326.0205,88056.25,8391680,176409.36,-0.06511672,-0.11649346,3.9092438,15.2821865,0.005489280067685636,-0.02431182120409492,-inf,39.025146
11312.772,87952.96,8391680,176275.42,-0.06456125,-0.11779118,3.904678,15.246511,0.005505698884481955,-0.030445568107536847,-inf,39.558765
11319.531,87879.17,8391680,176458.39,-0.06529601,-0.118692085,3.906999,15.264642,0.005440619816544147,-0.02713979288214796,-inf,40.31405
11320.318,87963.69,8391680,176298.08,-0.06494668,-0.11764264,3.9072785,15.266825,0.005549195941556341,-0.026231449620488956,-inf,40.31405
11323.923,87997.53,8391680,176669.06,-0.06430519,-0.117751196,3.9085329,15.2766285,0.0058626364133584335,-0.02509703678955688,-inf,39.26303
11322.355,87987.484,8391680,176669.03,-0.06440379,-0.11645889,3.9079897,15.272384,0.0059593080989063475,-0.023379531037058587,-inf,40.108444
11325.022,88005.53,8391680,176524.72,-0.06421435,-0.11651444,3.908914,15.279609,0.005834040291250335,-0.02583180346359537,-inf,39.704487
11322.376,87901.23,8391680,176829.62,-0.06455068,-0.117687866,3.9079943,15.27242,0.006449663674454742,-0.025840592184676936,-inf,40.31405
11320.21,87926.56,8391680,176771.6,-0.064428546,-0.11670312,3.907249,15.266595,0.005522529465959311,-0.024696616331979282,-inf,40.108444
11312.603,87923.586,8391680,176120.33,-0.064974725,-0.11690998,3.9046123,15.245996,0.005205003356313992,-0.029134220849083903,-inf,40.108444
11321.79,87940.86,8391680,176425.42,-0.06507402,-0.11687717,3.907782,15.2707615,0.005679534635155015,-0.027722897956329096,-inf,38.946136
11324.478,87880.44,8391680,176625.84,-0.06546832,-0.118698865,3.9087029,15.277959,0.005454486444701911,-0.027122320630687202,-inf,38.621193
11328.816,88038.125,8391680,176610.94,-0.06551507,-0.119130686,3.9102,15.289664,0.005329907847969602,-0.02525839695533305,-inf,40.31405
11324.627,87949.86,8391680,176817.86,-0.06507552,-0.118368,3.9087632,15.27843,0.005747492541235582,-0.025964836572945238,-inf,40.31405
11325.913,87932.49,8391680,176853.5,-0.06476178,-0.11843556,3.9092124,15.281941,0.0064493370769603585,-0.024678177258985023,-inf,40.31405
11325.911,87891.625,8391680,176710.88,-0.06454182,-0.11720442,3.9092145,15.281958,0.0063174379597318135,-0.023737097408375707,-inf,40.31405
11328.505,87939.66,8391680,176532.3,-0.06532005,-0.11882979,3.9100976,15.288863,0.005952404575371887,-0.023671637090715514,-inf,40.31405
