L2_norm,Nuclear_norm,L0_norm,L1_norm,Mean,Median,Std,Var,Skewness,Kurtosis,Entropy,Range
2563.0088,64013.906,41958400,41700.63,0.00981172,0.009086272,0.39555556,0.15646419,-0.062036269764882246,1.9138120374278662,-inf,12.572979
2567.2446,64107.96,41958400,41561.367,0.009820037,0.009053946,0.39620906,0.15698162,-0.06066290442739372,1.8552755700365449,-inf,11.695049
2565.822,64139.164,41958400,41737.414,0.009809923,0.009049924,0.39598972,0.15680785,-0.06121010396920164,1.901801541852186,-inf,12.708538
2565.778,64050.805,41958400,41896.11,0.009811468,0.009031812,0.39598304,0.15680256,-0.061034498366052965,1.9220597548006113,-inf,12.708538
2568.1855,64076.76,41958400,41567.95,0.00980498,0.009086152,0.39635512,0.15709738,-0.06053081972947122,1.8644221497992133,-inf,12.534094
2565.1455,64059.836,41958400,41751.0,0.009816402,0.009101836,0.39588565,0.15672545,-0.061522710100032234,1.8863124132430018,-inf,11.769314
2569.3574,64074.234,41958400,41685.758,0.009812904,0.009038787,0.3965354,0.15724032,-0.06066099949193307,1.8803747787299248,-inf,11.695049
2565.579,64118.145,41958400,41676.617,0.009810698,0.009074369,0.39595237,0.15677829,-0.06164946655028669,1.8994809445728134,-inf,12.708538
2567.6743,64143.227,41958400,41571.395,0.009818062,0.009034667,0.39627552,0.1570343,-0.060466343261906065,1.8667611854107733,-inf,11.769314
2568.107,64166.973,41958400,41602.855,0.009812521,0.009052694,0.39634228,0.15708719,-0.06121948715259023,1.8868060753597664,-inf,12.708538
2563.664,63999.008,41958400,41689.016,0.009811063,0.009069053,0.39565626,0.15654388,-0.0608332252174585,1.8820860578661431,-inf,11.769314
2567.5708,64140.883,41958400,41580.84,0.009802198,0.009077661,0.39625987,0.1570219,-0.06143991742599812,1.8766855678999708,-inf,11.830608
2565.8208,64094.04,41958400,41631.68,0.009803551,0.009056877,0.39598963,0.1568078,-0.06125646839001889,1.8810749413780181,-inf,12.472298
2564.0535,63954.957,41958400,41719.953,0.009788921,0.00907608,0.3957168,0.15659177,-0.062205984486430575,1.901298536328703,-inf,12.572979
2566.8755,64090.594,41958400,41720.965,0.009808435,0.009090468,0.39615265,0.15693693,-0.062029881495490866,1.8962571878347596,-inf,12.708538
2566.9827,64121.336,41958400,41733.867,0.009810627,0.009030046,0.39616916,0.15695,-0.060693478517577434,1.89016968100358,-inf,12.572979
2566.741,64039.613,41958400,41658.996,0.009811931,0.009091407,0.3961317,0.15692033,-0.06110920103743536,1.8879384662022654,-inf,12.708538
2566.012,64076.95,41958400,41700.785,0.009814029,0.009086987,0.39601883,0.1568309,-0.061650066445734744,1.899488844584436,-inf,12.434998
